"","bird_id","colony","wetdry_filename","depDate_comb","retDate_comb","deployment_period"
"274","CD496","Middle Lawn","CD496_26Jun22_145527driftadj.deg",2021-09-24,2022-06-22,"2021-2022"
"275","CD508","Middle Lawn","CD508_26Jun22_175030driftadj.deg",2021-09-24,2022-06-21,"2021-2022"
"276","CH012","Middle Lawn","CH012_10Jul23_182045driftadj.deg",2022-08-22,2023-07-01,"2022-2023"
"277","CH000","Middle Lawn","CH000_05Jul23_131219driftadj.deg",2022-08-22,2023-06-28,"2022-2023"
"278","CH790","Middle Lawn","CH790_25Nov23_220016driftadj.deg",2022-08-22,2023-06-29,"2022-2023"
"279","CH022","Middle Lawn","CH022_10Jul23_184436driftadj.deg",2022-08-22,2023-06-30,"2022-2023"
"280","CH718","Middle Lawn","CH718_05Jul23_122529driftadj.deg",2022-08-22,2023-06-28,"2022-2023"
"281","CH707","Middle Lawn","CH707_05Jul23_125400driftadj.deg",2022-08-22,2023-06-28,"2022-2023"
"282","CH731","Middle Lawn","CH731_10Jul23_190119driftadj.deg",2022-08-22,2023-06-29,"2022-2023"
"283","CH019","Middle Lawn","CH019_10Jul23_193212driftadj.deg",2022-08-22,2023-06-28,"2022-2023"
"284","CH033","Middle Lawn","CH033_10Jul23_183533driftadj.deg",2022-08-22,2023-06-29,"2022-2023"
"285","CH027","Middle Lawn","CH027_25Nov23_221158driftadj.deg",2022-08-23,2023-06-28,"2022-2023"
"286","CH036","Middle Lawn","CH036_10Jul23_190551driftadj.deg",2022-08-23,2023-06-30,"2022-2023"
"287","CH725","Middle Lawn","CH725_17Jul23_012417driftadj.deg",2022-08-23,2023-07-13,"2022-2023"
"288","CH029","Middle Lawn","CH029_10Jul23_185010driftadj.deg",2022-08-23,2023-06-29,"2022-2023"
"289","CH032","Middle Lawn","CH032_10Jul23_193736driftadj.deg",2022-08-23,2023-06-30,"2022-2023"
"290","CH041","Middle Lawn","CH041_17Jul23_013449driftadj.deg",2022-08-23,2023-07-16,"2022-2023"
"291","CH008","Middle Lawn","CH008_05Jul23_130100driftadj.deg",2022-08-23,2023-06-30,"2022-2023"
"292","CH713","Middle Lawn","CH713_05Jul23_123013driftadj.deg",2022-08-23,2023-06-28,"2022-2023"
"293","CH727","Middle Lawn","CH727_10Jul23_183025driftadj.deg",2022-09-07,2023-06-28,"2022-2023"
"294","CH741","Middle Lawn","CH741_05Jul23_122043driftadj.deg",2022-09-08,2023-06-29,"2022-2023"
"295","CH706","Middle Lawn","CH706_05Jul23_123456driftadj.deg",2022-09-08,2023-06-28,"2022-2023"
"296","CH712","Middle Lawn","CH712_25Nov23_191654driftadj.deg",2022-09-08,2023-06-28,"2022-2023"
"297","CH738","Middle Lawn","CH738_17Jul23_014530driftadj.deg",2022-09-09,2023-07-16,"2022-2023"
"298","CH708","Middle Lawn","CH708_10Jul23_182529driftadj.deg",2022-09-09,2023-06-28,"2022-2023"
